      S-1:          S-2:          S-3:          S-4:          S-5:          S-6:          S-7:          S-8:          S-9:    
  11675.464321      0.000001      0.000000      0.000001      0.000001      0.000001      0.000002      0.000000      0.000000      0.000000
  11771.260997      0.000001      0.000000      0.000001      0.000001      0.000001      0.000002      0.000000      0.000000      0.000000
  11867.057674      0.000001      0.000000      0.000001      0.000001      0.000001      0.000002      0.000000      0.000000      0.000000
  11962.854350      0.000001      0.000000      0.000001      0.000001      0.000001      0.000002      0.000000      0.000000      0.000000
  12058.651026      0.000001      0.000000      0.000001      0.000001      0.000001      0.000002      0.000000      0.000000      0.000000
  12154.447703      0.000001      0.000000      0.000001      0.000001      0.000001      0.000002      0.000000      0.000000      0.000000
  12250.244379      0.000001      0.000000      0.000001      0.000001      0.000001      0.000002      0.000000      0.000000      0.000000
  12346.041056      0.000001      0.000000      0.000001      0.000001      0.000001      0.000002      0.000000      0.000000      0.000000
  12441.837732      0.000001      0.000000      0.000001      0.000001      0.000001      0.000003      0.000000      0.000000      0.000000
  12537.634409      0.000001      0.000000      0.000001      0.000001      0.000001      0.000003      0.000000      0.000000      0.000000
  12633.431085      0.000002      0.000000      0.000001      0.000001      0.000001      0.000003      0.000000      0.000000      0.000000
  12729.227761      0.000002      0.000000      0.000001      0.000001      0.000001      0.000003      0.000000      0.000000      0.000000
  12825.024438      0.000002      0.000000      0.000001      0.000001      0.000001      0.000003      0.000000      0.000000      0.000000
  12920.821114      0.000002      0.000000      0.000001      0.000001      0.000001      0.000003      0.000000      0.000000      0.000000
  13016.617791      0.000002      0.000000      0.000001      0.000001      0.000001      0.000003      0.000000      0.000000      0.000000
  13112.414467      0.000002      0.000000      0.000001      0.000001      0.000001      0.000003      0.000000      0.000000      0.000000
  13208.211144      0.000002      0.000000      0.000001      0.000001      0.000001      0.000004      0.000000      0.000000      0.000000
  13304.007820      0.000002      0.000000      0.000001      0.000001      0.000001      0.000004      0.000000      0.000000      0.000000
  13399.804497      0.000002      0.000000      0.000001      0.000001      0.000001      0.000004      0.000000      0.000000      0.000000
  13495.601173      0.000002      0.000000      0.000001      0.000001      0.000001      0.000004      0.000000      0.000000      0.000000
  13591.397849      0.000002      0.000000      0.000001      0.000001      0.000001      0.000004      0.000000      0.000000      0.000000
  13687.194526      0.000002      0.000000      0.000001      0.000001      0.000001      0.000004      0.000000      0.000000      0.000000
  13782.991202      0.000002      0.000000      0.000001      0.000001      0.000001      0.000004      0.000000      0.000000      0.000000
  13878.787879      0.000002      0.000000      0.000001      0.000001      0.000001      0.000005      0.000000      0.000000      0.000000
  13974.584555      0.000003      0.000000      0.000001      0.000001      0.000001      0.000005      0.000000      0.000000      0.000000
  14070.381232      0.000003      0.000000      0.000001      0.000001      0.000002      0.000005      0.000000      0.000000      0.000000
